    [junit] init reg: 8 qubits, 1 node, and 1024 hash table length, hashw=10
    [junit] after init and norm with quantum_hadamard: reg.size=256 hash.length=1024
    [junit] 0.062500 0.000000i|0> (0.003906) (| 0000 0000>)
    [junit] 0.062500 0.000000i|1> (0.003906) (| 0000 0001>)
    [junit] 0.062500 0.000000i|2> (0.003906) (| 0000 0010>)
    [junit] 0.062500 0.000000i|3> (0.003906) (| 0000 0011>)
    [junit] 0.062500 0.000000i|4> (0.003906) (| 0000 0100>)
    [junit] 0.062500 0.000000i|5> (0.003906) (| 0000 0101>)
    [junit] 0.062500 0.000000i|6> (0.003906) (| 0000 0110>)
    [junit] 0.062500 0.000000i|7> (0.003906) (| 0000 0111>)
    [junit] 0.062500 0.000000i|8> (0.003906) (| 0000 1000>)
    [junit] 0.062500 0.000000i|9> (0.003906) (| 0000 1001>)
    [junit] 0.062500 0.000000i|10> (0.003906) (| 0000 1010>)
    [junit] 0.062500 0.000000i|11> (0.003906) (| 0000 1011>)
    [junit] 0.062500 0.000000i|12> (0.003906) (| 0000 1100>)
    [junit] 0.062500 0.000000i|13> (0.003906) (| 0000 1101>)
    [junit] 0.062500 0.000000i|14> (0.003906) (| 0000 1110>)
    [junit] 0.062500 0.000000i|15> (0.003906) (| 0000 1111>)
    [junit] 0.062500 0.000000i|16> (0.003906) (| 0001 0000>)
    [junit] 0.062500 0.000000i|17> (0.003906) (| 0001 0001>)
    [junit] 0.062500 0.000000i|18> (0.003906) (| 0001 0010>)
    [junit] 0.062500 0.000000i|19> (0.003906) (| 0001 0011>)
    [junit] 0.062500 0.000000i|20> (0.003906) (| 0001 0100>)
    [junit] 0.062500 0.000000i|21> (0.003906) (| 0001 0101>)
    [junit] 0.062500 0.000000i|22> (0.003906) (| 0001 0110>)
    [junit] 0.062500 0.000000i|23> (0.003906) (| 0001 0111>)
    [junit] 0.062500 0.000000i|24> (0.003906) (| 0001 1000>)
    [junit] 0.062500 0.000000i|25> (0.003906) (| 0001 1001>)
    [junit] 0.062500 0.000000i|26> (0.003906) (| 0001 1010>)
    [junit] 0.062500 0.000000i|27> (0.003906) (| 0001 1011>)
    [junit] 0.062500 0.000000i|28> (0.003906) (| 0001 1100>)
    [junit] 0.062500 0.000000i|29> (0.003906) (| 0001 1101>)
    [junit] 0.062500 0.000000i|30> (0.003906) (| 0001 1110>)
    [junit] 0.062500 0.000000i|31> (0.003906) (| 0001 1111>)
    [junit] 0.062500 0.000000i|32> (0.003906) (| 0010 0000>)
    [junit] 0.062500 0.000000i|33> (0.003906) (| 0010 0001>)
    [junit] 0.062500 0.000000i|34> (0.003906) (| 0010 0010>)
    [junit] 0.062500 0.000000i|35> (0.003906) (| 0010 0011>)
    [junit] 0.062500 0.000000i|36> (0.003906) (| 0010 0100>)
    [junit] 0.062500 0.000000i|37> (0.003906) (| 0010 0101>)
    [junit] 0.062500 0.000000i|38> (0.003906) (| 0010 0110>)
    [junit] 0.062500 0.000000i|39> (0.003906) (| 0010 0111>)
    [junit] 0.062500 0.000000i|40> (0.003906) (| 0010 1000>)
    [junit] 0.062500 0.000000i|41> (0.003906) (| 0010 1001>)
    [junit] 0.062500 0.000000i|42> (0.003906) (| 0010 1010>)
    [junit] 0.062500 0.000000i|43> (0.003906) (| 0010 1011>)
    [junit] 0.062500 0.000000i|44> (0.003906) (| 0010 1100>)
    [junit] 0.062500 0.000000i|45> (0.003906) (| 0010 1101>)
    [junit] 0.062500 0.000000i|46> (0.003906) (| 0010 1110>)
    [junit] 0.062500 0.000000i|47> (0.003906) (| 0010 1111>)
    [junit] 0.062500 0.000000i|48> (0.003906) (| 0011 0000>)
    [junit] 0.062500 0.000000i|49> (0.003906) (| 0011 0001>)
    [junit] 0.062500 0.000000i|50> (0.003906) (| 0011 0010>)
    [junit] 0.062500 0.000000i|51> (0.003906) (| 0011 0011>)
    [junit] 0.062500 0.000000i|52> (0.003906) (| 0011 0100>)
    [junit] 0.062500 0.000000i|53> (0.003906) (| 0011 0101>)
    [junit] 0.062500 0.000000i|54> (0.003906) (| 0011 0110>)
    [junit] 0.062500 0.000000i|55> (0.003906) (| 0011 0111>)
    [junit] 0.062500 0.000000i|56> (0.003906) (| 0011 1000>)
    [junit] 0.062500 0.000000i|57> (0.003906) (| 0011 1001>)
    [junit] 0.062500 0.000000i|58> (0.003906) (| 0011 1010>)
    [junit] 0.062500 0.000000i|59> (0.003906) (| 0011 1011>)
    [junit] 0.062500 0.000000i|60> (0.003906) (| 0011 1100>)
    [junit] 0.062500 0.000000i|61> (0.003906) (| 0011 1101>)
    [junit] 0.062500 0.000000i|62> (0.003906) (| 0011 1110>)
    [junit] 0.062500 0.000000i|63> (0.003906) (| 0011 1111>)
    [junit] 0.062500 0.000000i|64> (0.003906) (| 0100 0000>)
    [junit] 0.062500 0.000000i|65> (0.003906) (| 0100 0001>)
    [junit] 0.062500 0.000000i|66> (0.003906) (| 0100 0010>)
    [junit] 0.062500 0.000000i|67> (0.003906) (| 0100 0011>)
    [junit] 0.062500 0.000000i|68> (0.003906) (| 0100 0100>)
    [junit] 0.062500 0.000000i|69> (0.003906) (| 0100 0101>)
    [junit] 0.062500 0.000000i|70> (0.003906) (| 0100 0110>)
    [junit] 0.062500 0.000000i|71> (0.003906) (| 0100 0111>)
    [junit] 0.062500 0.000000i|72> (0.003906) (| 0100 1000>)
    [junit] 0.062500 0.000000i|73> (0.003906) (| 0100 1001>)
    [junit] 0.062500 0.000000i|74> (0.003906) (| 0100 1010>)
    [junit] 0.062500 0.000000i|75> (0.003906) (| 0100 1011>)
    [junit] 0.062500 0.000000i|76> (0.003906) (| 0100 1100>)
    [junit] 0.062500 0.000000i|77> (0.003906) (| 0100 1101>)
    [junit] 0.062500 0.000000i|78> (0.003906) (| 0100 1110>)
    [junit] 0.062500 0.000000i|79> (0.003906) (| 0100 1111>)
    [junit] 0.062500 0.000000i|80> (0.003906) (| 0101 0000>)
    [junit] 0.062500 0.000000i|81> (0.003906) (| 0101 0001>)
    [junit] 0.062500 0.000000i|82> (0.003906) (| 0101 0010>)
    [junit] 0.062500 0.000000i|83> (0.003906) (| 0101 0011>)
    [junit] 0.062500 0.000000i|84> (0.003906) (| 0101 0100>)
    [junit] 0.062500 0.000000i|85> (0.003906) (| 0101 0101>)
    [junit] 0.062500 0.000000i|86> (0.003906) (| 0101 0110>)
    [junit] 0.062500 0.000000i|87> (0.003906) (| 0101 0111>)
    [junit] 0.062500 0.000000i|88> (0.003906) (| 0101 1000>)
    [junit] 0.062500 0.000000i|89> (0.003906) (| 0101 1001>)
    [junit] 0.062500 0.000000i|90> (0.003906) (| 0101 1010>)
    [junit] 0.062500 0.000000i|91> (0.003906) (| 0101 1011>)
    [junit] 0.062500 0.000000i|92> (0.003906) (| 0101 1100>)
    [junit] 0.062500 0.000000i|93> (0.003906) (| 0101 1101>)
    [junit] 0.062500 0.000000i|94> (0.003906) (| 0101 1110>)
    [junit] 0.062500 0.000000i|95> (0.003906) (| 0101 1111>)
    [junit] 0.062500 0.000000i|96> (0.003906) (| 0110 0000>)
    [junit] 0.062500 0.000000i|97> (0.003906) (| 0110 0001>)
    [junit] 0.062500 0.000000i|98> (0.003906) (| 0110 0010>)
    [junit] 0.062500 0.000000i|99> (0.003906) (| 0110 0011>)
    [junit] 0.062500 0.000000i|100> (0.003906) (| 0110 0100>)
    [junit] 0.062500 0.000000i|101> (0.003906) (| 0110 0101>)
    [junit] 0.062500 0.000000i|102> (0.003906) (| 0110 0110>)
    [junit] 0.062500 0.000000i|103> (0.003906) (| 0110 0111>)
    [junit] 0.062500 0.000000i|104> (0.003906) (| 0110 1000>)
    [junit] 0.062500 0.000000i|105> (0.003906) (| 0110 1001>)
    [junit] 0.062500 0.000000i|106> (0.003906) (| 0110 1010>)
    [junit] 0.062500 0.000000i|107> (0.003906) (| 0110 1011>)
    [junit] 0.062500 0.000000i|108> (0.003906) (| 0110 1100>)
    [junit] 0.062500 0.000000i|109> (0.003906) (| 0110 1101>)
    [junit] 0.062500 0.000000i|110> (0.003906) (| 0110 1110>)
    [junit] 0.062500 0.000000i|111> (0.003906) (| 0110 1111>)
    [junit] 0.062500 0.000000i|112> (0.003906) (| 0111 0000>)
    [junit] 0.062500 0.000000i|113> (0.003906) (| 0111 0001>)
    [junit] 0.062500 0.000000i|114> (0.003906) (| 0111 0010>)
    [junit] 0.062500 0.000000i|115> (0.003906) (| 0111 0011>)
    [junit] 0.062500 0.000000i|116> (0.003906) (| 0111 0100>)
    [junit] 0.062500 0.000000i|117> (0.003906) (| 0111 0101>)
    [junit] 0.062500 0.000000i|118> (0.003906) (| 0111 0110>)
    [junit] 0.062500 0.000000i|119> (0.003906) (| 0111 0111>)
    [junit] 0.062500 0.000000i|120> (0.003906) (| 0111 1000>)
    [junit] 0.062500 0.000000i|121> (0.003906) (| 0111 1001>)
    [junit] 0.062500 0.000000i|122> (0.003906) (| 0111 1010>)
    [junit] 0.062500 0.000000i|123> (0.003906) (| 0111 1011>)
    [junit] 0.062500 0.000000i|124> (0.003906) (| 0111 1100>)
    [junit] 0.062500 0.000000i|125> (0.003906) (| 0111 1101>)
    [junit] 0.062500 0.000000i|126> (0.003906) (| 0111 1110>)
    [junit] 0.062500 0.000000i|127> (0.003906) (| 0111 1111>)
    [junit] 0.062500 0.000000i|128> (0.003906) (| 1000 0000>)
    [junit] 0.062500 0.000000i|129> (0.003906) (| 1000 0001>)
    [junit] 0.062500 0.000000i|130> (0.003906) (| 1000 0010>)
    [junit] 0.062500 0.000000i|131> (0.003906) (| 1000 0011>)
    [junit] 0.062500 0.000000i|132> (0.003906) (| 1000 0100>)
    [junit] 0.062500 0.000000i|133> (0.003906) (| 1000 0101>)
    [junit] 0.062500 0.000000i|134> (0.003906) (| 1000 0110>)
    [junit] 0.062500 0.000000i|135> (0.003906) (| 1000 0111>)
    [junit] 0.062500 0.000000i|136> (0.003906) (| 1000 1000>)
    [junit] 0.062500 0.000000i|137> (0.003906) (| 1000 1001>)
    [junit] 0.062500 0.000000i|138> (0.003906) (| 1000 1010>)
    [junit] 0.062500 0.000000i|139> (0.003906) (| 1000 1011>)
    [junit] 0.062500 0.000000i|140> (0.003906) (| 1000 1100>)
    [junit] 0.062500 0.000000i|141> (0.003906) (| 1000 1101>)
    [junit] 0.062500 0.000000i|142> (0.003906) (| 1000 1110>)
    [junit] 0.062500 0.000000i|143> (0.003906) (| 1000 1111>)
