    [junit] after addscratch: reg.size=256 hash.length=1024
    [junit] 0.062500 0.000000i|0> (0.003906) (|00 0000 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|16384> (0.003906) (|00 0000 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|32768> (0.003906) (|00 0000 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|49152> (0.003906) (|00 0000 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|65536> (0.003906) (|00 0001 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|81920> (0.003906) (|00 0001 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|98304> (0.003906) (|00 0001 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|114688> (0.003906) (|00 0001 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|131072> (0.003906) (|00 0010 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|147456> (0.003906) (|00 0010 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|163840> (0.003906) (|00 0010 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|180224> (0.003906) (|00 0010 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|196608> (0.003906) (|00 0011 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|212992> (0.003906) (|00 0011 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|229376> (0.003906) (|00 0011 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|245760> (0.003906) (|00 0011 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|262144> (0.003906) (|00 0100 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|278528> (0.003906) (|00 0100 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|294912> (0.003906) (|00 0100 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|311296> (0.003906) (|00 0100 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|327680> (0.003906) (|00 0101 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|344064> (0.003906) (|00 0101 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|360448> (0.003906) (|00 0101 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|376832> (0.003906) (|00 0101 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|393216> (0.003906) (|00 0110 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|409600> (0.003906) (|00 0110 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|425984> (0.003906) (|00 0110 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|442368> (0.003906) (|00 0110 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|458752> (0.003906) (|00 0111 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|475136> (0.003906) (|00 0111 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|491520> (0.003906) (|00 0111 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|507904> (0.003906) (|00 0111 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|524288> (0.003906) (|00 1000 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|540672> (0.003906) (|00 1000 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|557056> (0.003906) (|00 1000 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|573440> (0.003906) (|00 1000 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|589824> (0.003906) (|00 1001 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|606208> (0.003906) (|00 1001 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|622592> (0.003906) (|00 1001 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|638976> (0.003906) (|00 1001 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|655360> (0.003906) (|00 1010 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|671744> (0.003906) (|00 1010 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|688128> (0.003906) (|00 1010 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|704512> (0.003906) (|00 1010 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|720896> (0.003906) (|00 1011 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|737280> (0.003906) (|00 1011 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|753664> (0.003906) (|00 1011 1000 0000 0000 0000>)
