    [junit] after exp_mod_n: reg.size=256 hash.length=1024
    [junit] 0.062500 0.000000i|1024> (0.003906) (|00 0000 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|24576> (0.003906) (|00 0000 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|36864> (0.003906) (|00 0000 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|51200> (0.003906) (|00 0000 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|66560> (0.003906) (|00 0001 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|90112> (0.003906) (|00 0001 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|102400> (0.003906) (|00 0001 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|116736> (0.003906) (|00 0001 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|132096> (0.003906) (|00 0010 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|155648> (0.003906) (|00 0010 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|167936> (0.003906) (|00 0010 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|182272> (0.003906) (|00 0010 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|197632> (0.003906) (|00 0011 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|221184> (0.003906) (|00 0011 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|233472> (0.003906) (|00 0011 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|247808> (0.003906) (|00 0011 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|263168> (0.003906) (|00 0100 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|286720> (0.003906) (|00 0100 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|299008> (0.003906) (|00 0100 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|313344> (0.003906) (|00 0100 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|328704> (0.003906) (|00 0101 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|352256> (0.003906) (|00 0101 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|364544> (0.003906) (|00 0101 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|378880> (0.003906) (|00 0101 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|394240> (0.003906) (|00 0110 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|417792> (0.003906) (|00 0110 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|430080> (0.003906) (|00 0110 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|444416> (0.003906) (|00 0110 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|459776> (0.003906) (|00 0111 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|483328> (0.003906) (|00 0111 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|495616> (0.003906) (|00 0111 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|509952> (0.003906) (|00 0111 1100 1000 0000 0000>)
