    [junit] after bmeasure: reg.size=64 hash.length=1024
    [junit] 0.125000 0.000000i|1> (0.015625) (| 0000 0001>)
    [junit] 0.125000 0.000000i|5> (0.015625) (| 0000 0101>)
    [junit] 0.125000 0.000000i|9> (0.015625) (| 0000 1001>)
    [junit] 0.125000 0.000000i|13> (0.015625) (| 0000 1101>)
    [junit] 0.125000 0.000000i|17> (0.015625) (| 0001 0001>)
    [junit] 0.125000 0.000000i|21> (0.015625) (| 0001 0101>)
    [junit] 0.125000 0.000000i|25> (0.015625) (| 0001 1001>)
    [junit] 0.125000 0.000000i|29> (0.015625) (| 0001 1101>)
    [junit] 0.125000 0.000000i|33> (0.015625) (| 0010 0001>)
    [junit] 0.125000 0.000000i|37> (0.015625) (| 0010 0101>)
    [junit] 0.125000 0.000000i|41> (0.015625) (| 0010 1001>)
    [junit] 0.125000 0.000000i|45> (0.015625) (| 0010 1101>)
    [junit] 0.125000 0.000000i|49> (0.015625) (| 0011 0001>)
    [junit] 0.125000 0.000000i|53> (0.015625) (| 0011 0101>)
    [junit] 0.125000 0.000000i|57> (0.015625) (| 0011 1001>)
    [junit] 0.125000 0.000000i|61> (0.015625) (| 0011 1101>)
    [junit] 0.125000 0.000000i|65> (0.015625) (| 0100 0001>)
    [junit] 0.125000 0.000000i|69> (0.015625) (| 0100 0101>)
    [junit] 0.125000 0.000000i|73> (0.015625) (| 0100 1001>)
    [junit] 0.125000 0.000000i|77> (0.015625) (| 0100 1101>)
    [junit] 0.125000 0.000000i|81> (0.015625) (| 0101 0001>)
    [junit] 0.125000 0.000000i|85> (0.015625) (| 0101 0101>)
    [junit] 0.125000 0.000000i|89> (0.015625) (| 0101 1001>)
    [junit] 0.125000 0.000000i|93> (0.015625) (| 0101 1101>)
    [junit] 0.125000 0.000000i|97> (0.015625) (| 0110 0001>)
    [junit] 0.125000 0.000000i|101> (0.015625) (| 0110 0101>)
    [junit] 0.125000 0.000000i|105> (0.015625) (| 0110 1001>)
    [junit] 0.125000 0.000000i|109> (0.015625) (| 0110 1101>)
    [junit] 0.125000 0.000000i|113> (0.015625) (| 0111 0001>)
    [junit] 0.125000 0.000000i|117> (0.015625) (| 0111 0101>)
    [junit] 0.125000 0.000000i|121> (0.015625) (| 0111 1001>)
    [junit] 0.125000 0.000000i|125> (0.015625) (| 0111 1101>)
    [junit] 0.125000 0.000000i|129> (0.015625) (| 1000 0001>)
    [junit] 0.125000 0.000000i|133> (0.015625) (| 1000 0101>)
    [junit] 0.125000 0.000000i|137> (0.015625) (| 1000 1001>)
    [junit] 0.125000 0.000000i|141> (0.015625) (| 1000 1101>)
    [junit] 0.125000 0.000000i|145> (0.015625) (| 1001 0001>)
    [junit] 0.125000 0.000000i|149> (0.015625) (| 1001 0101>)
    [junit] 0.125000 0.000000i|153> (0.015625) (| 1001 1001>)
    [junit] 0.125000 0.000000i|157> (0.015625) (| 1001 1101>)
    [junit] 0.125000 0.000000i|161> (0.015625) (| 1010 0001>)
    [junit] 0.125000 0.000000i|165> (0.015625) (| 1010 0101>)
    [junit] 0.125000 0.000000i|169> (0.015625) (| 1010 1001>)
    [junit] 0.125000 0.000000i|173> (0.015625) (| 1010 1101>)
    [junit] 0.125000 0.000000i|177> (0.015625) (| 1011 0001>)
    [junit] 0.125000 0.000000i|181> (0.015625) (| 1011 0101>)
    [junit] 0.125000 0.000000i|185> (0.015625) (| 1011 1001>)
    [junit] 0.125000 0.000000i|189> (0.015625) (| 1011 1101>)
    [junit] 0.125000 0.000000i|193> (0.015625) (| 1100 0001>)
    [junit] 0.125000 0.000000i|197> (0.015625) (| 1100 0101>)
    [junit] 0.125000 0.000000i|201> (0.015625) (| 1100 1001>)
    [junit] 0.125000 0.000000i|205> (0.015625) (| 1100 1101>)
    [junit] 0.125000 0.000000i|209> (0.015625) (| 1101 0001>)
    [junit] 0.125000 0.000000i|213> (0.015625) (| 1101 0101>)
    [junit] 0.125000 0.000000i|217> (0.015625) (| 1101 1001>)
    [junit] 0.125000 0.000000i|221> (0.015625) (| 1101 1101>)
    [junit] 0.125000 0.000000i|225> (0.015625) (| 1110 0001>)
    [junit] 0.125000 0.000000i|229> (0.015625) (| 1110 0101>)
    [junit] 0.125000 0.000000i|233> (0.015625) (| 1110 1001>)
    [junit] 0.125000 0.000000i|237> (0.015625) (| 1110 1101>)
    [junit] 0.125000 0.000000i|241> (0.015625) (| 1111 0001>)
    [junit] 0.125000 0.000000i|245> (0.015625) (| 1111 0101>)
    [junit] 0.125000 0.000000i|249> (0.015625) (| 1111 1001>)
    [junit] 0.125000 0.000000i|253> (0.015625) (| 1111 1101>)
